BillNo,Date,Customer,Discount 5%,Discount 12%,Discount 18%,Discount 28%
A457,24-07-2017,"REMEDY MEDICALS, CHANGANACHERRY",#N/A,1,#N/A,#N/A
A452,24-07-2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",#N/A,1,#N/A,#N/A
A463,24-07-2017,"KANNAMPALLIL MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A462,24-07-2017,"JESWIN MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A456,24-07-2017,"HOLY CROSS HOSPITAL, ADOOR",#N/A,1,#N/A,#N/A
A465,24-07-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A466,24-07-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A467,24-07-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A458,24-07-2017,"MATTAPARAMPIL MEDICALS, CHANGANASSERY",#N/A,1,#N/A,#N/A
A468,24-07-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A450,24-07-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A469,24-07-2017,"JAI MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A472,24-07-2017,"BELIEVERS CHURCH CITY CLINIC, THIRUVALLA",#N/A,1,#N/A,#N/A
A464,24-07-2017,"M.N.MEDICALS, CHOONAD",#N/A,1,#N/A,#N/A
A461,24-07-2017,"VISWAS COMMUNITY FAIR PRICE MEDICAL SERVICE, PUTHENCHANDA",#N/A,1,#N/A,#N/A
A460,24-07-2017,"ASWAS MEDICALS, KURISHUMMOODU",#N/A,1,#N/A,#N/A
A455,24-07-2017,"M.G MEDICALS, MANNAR",#N/A,1,#N/A,#N/A
A453,24-07-2017,"EMI MEDICALS, VALAKUZHY",#N/A,1,#N/A,#N/A
A451,24-07-2017,"TRAVANCORE MEDICALS, PULLAD",#N/A,1,#N/A,#N/A
A459,24-07-2017,"THOMSON MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A471,24-07-2017,"THOMSON MEDICALS, TIRUVALLA",#N/A,1,#N/A,#N/A
A470,24-07-2017,"MED CARE PHARMACY, KAVUMBHAGUM",#N/A,1,#N/A,#N/A
A454,24-07-2017,"CENTRAL MEDICALS, THADIYOOR",#N/A,1,#N/A,#N/A
A473,24-07-2017,"BELIEVERS CHURCH CITY CLINIC, THIRUVALLA",#N/A,#N/A,#N/A,1
A513,25-07-2017,"FRIENDS MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A529,25-07-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,1,#N/A,#N/A
A495,25-07-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A496,25-07-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A474,25-07-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,1,#N/A,#N/A
A487,25-07-2017,"NEETHI MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A477,25-07-2017,"DR.CHACKO (BETSETHA(H), VALLAMKULAM",#N/A,1,#N/A,#N/A
A497,25-07-2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",#N/A,1,#N/A,#N/A
A525,25-07-2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A481,25-07-2017,"POYANIL HOSPITAL, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A476,25-07-2017,"NEETHY MEDICAL STORE, PULLAD",#N/A,1,#N/A,#N/A
A535,25-07-2017,"DR.V.K.SANJEEV.MD.DM, NEURO CLINIC ,CHRY",#N/A,1,#N/A,#N/A
A536,25-07-2017,"USHA HOSPITAL, CHENGANNOOR",#N/A,1,#N/A,#N/A
A527,25-07-2017,"PEOPLES HOSPITAL, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A482,25-07-2017,"PEOPLES HOSPITAL, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A484,25-07-2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A524,25-07-2017,"NEETHI MEDICAL STORE, KUMBANADU",#N/A,1,#N/A,#N/A
A509,25-07-2017,"HEALTH CARE MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A526,25-07-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,1,#N/A,#N/A
A523,25-07-2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A478,25-07-2017,"KANJIRAMON MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A502,25-07-2017,"G.K HOSPITAL, THIRUVALLA",#N/A,1,#N/A,#N/A
A522,25-07-2017,"SOUTHERN MEDICALS, KOZHENCHERY",#N/A,1,#N/A,#N/A
A506,25-07-2017,"KUMBANAD MEDICALS, KUMBANAD",#N/A,1,#N/A,#N/A
A531,25-07-2017,"DR.BALASUBRAMANIAN G, MAVELIKKARA",#N/A,1,#N/A,#N/A
A491,25-07-2017,"HAFZA MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A488,25-07-2017,"ST.MARY'S HOSPITAL, ERAVIPEROOR",#N/A,1,#N/A,#N/A
A520,25-07-2017,"MADATHIL MEDICALS, KOZHANCHERY",#N/A,1,#N/A,#N/A
A503,25-07-2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",#N/A,1,#N/A,#N/A
A505,25-07-2017,"KOODATHUMANNIL MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A489,25-07-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,#N/A,#N/A,1
A501,25-07-2017,"MEDICAL TRUST HOSPITAL, KULANADA",#N/A,1,#N/A,#N/A
A538,25-07-2017,"THOMSON MEDICALS, CHANGANASERY",#N/A,1,#N/A,#N/A
A516,25-07-2017,"ST.GEORGE MEDICALS, KOZHENCHERY",#N/A,1,#N/A,#N/A
A528,25-07-2017,"M.G.M. MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A537,25-07-2017,"JANAMITHRA MEDICALS, PAIPAD",#N/A,1,#N/A,#N/A
A500,25-07-2017,"SAM MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A492,25-07-2017,"DR.ROY ALEXANDER, CHILDRENS CLINIC",#N/A,1,#N/A,#N/A
A519,25-07-2017,"KANJIRATHARA MEDICALS, MANJADI",#N/A,1,#N/A,#N/A
A512,25-07-2017,"SIMON GEORGE & SONS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A494,25-07-2017,"THOMSON MEDICALS, TIRUVALLA",#N/A,1,#N/A,#N/A
A498,25-07-2017,"S.D MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A499,25-07-2017,"MUTTUMON MEDICALS, KUMBANAD",#N/A,1,#N/A,#N/A
A514,25-07-2017,"PHILIPS MEDICALS, NELLAD",#N/A,1,#N/A,#N/A
A480,25-07-2017,"T & T MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A493,25-07-2017,"MANNAR MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A479,25-07-2017,"KANJIRAMON MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A485,25-07-2017,"JACOBS MEDICALS, KUMBANAD",#N/A,1,#N/A,#N/A
A511,25-07-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A486,25-07-2017,"APPOLO MEDICALS, ADOOR",#N/A,1,#N/A,#N/A
A534,25-07-2017,"ANJALI MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A518,25-07-2017,"MANNAR MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A490,25-07-2017,"JINI MEDICALS, MARAMON",#N/A,1,#N/A,#N/A
A533,25-07-2017,"JOSE & SONS MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A517,25-07-2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",#N/A,1,#N/A,#N/A
A510,25-07-2017,"DR.RAJAN MATHEWS, CHILDREN'S MEDICAL CENTRE",#N/A,1,#N/A,#N/A
A475,25-07-2017,"MAMMARAPALLIL MEDICALS, PULLAD ",#N/A,1,#N/A,#N/A
A507,25-07-2017,"SONIA MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A483,25-07-2017,"PAZHANJIYIL MEDICALS, KOZHENCHERY",#N/A,1,#N/A,#N/A
A504,25-07-2017,"PREETHI MEDICALS, ELENTHOOR",#N/A,1,#N/A,#N/A
A515,25-07-2017,"KANNAN MEDICALS, EZHUMATOOR",#N/A,1,#N/A,#N/A
A530,25-07-2017,"BHADRA MEDICALS, NEERATTUPURAM",#N/A,#N/A,#N/A,1
A521,25-07-2017,"CENTRAL MEDICALS, THADIYOOR",#N/A,#N/A,1,#N/A
A508,25-07-2017,"HEALTH CARE MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
A532,25-07-2017,"GILEYAD MEDICALS, MELPADOM",#N/A,#N/A,#N/A,1
A539,26-07-2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",#N/A,1,#N/A,#N/A
A540,26-07-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A543,26-07-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,1,#N/A,#N/A
A545,26-07-2017,"C.M HOSPITAL, PANDALAM",#N/A,1,#N/A,#N/A
A548,26-07-2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A549,26-07-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A542,26-07-2017,"MENAMTHOTTAM HOSPITAL, RANNY",#N/A,1,#N/A,#N/A
A544,26-07-2017,"S.N.MEDICALS, KADAPRA",#N/A,1,#N/A,#N/A
A546,26-07-2017,"NITHIN MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A541,26-07-2017,"LEKSHMI MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A547,26-07-2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",#N/A,#N/A,1,#N/A
A555,27-07-2017,"KADAVIL MEDICALS, MANNAR",#N/A,1,#N/A,#N/A
A552,27-07-2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",#N/A,1,#N/A,#N/A
A563,27-07-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,1,#N/A,#N/A
A570,27-07-2017,"DR.BALASUBRAMANIAN G, MAVELIKKARA",#N/A,1,#N/A,#N/A
A565,27-07-2017,"C.M HOSPITAL, PANDALAM",#N/A,1,#N/A,#N/A
A567,27-07-2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",#N/A,1,#N/A,#N/A
A569,27-07-2017,"NEETHI MEDICALS, NEAR COLLEGE JN ",#N/A,1,#N/A,#N/A
A562,27-07-2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A568,27-07-2017,"THUSHARA MEDICALS, PANDALAM",#N/A,1,#N/A,#N/A
A556,27-07-2017,"DURGA MEDICALS, BUDHANOOR.NR FED BANK",#N/A,1,#N/A,#N/A
A560,27-07-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,1,#N/A,#N/A
A558,27-07-2017,"DR.V.K.SANJEEV.MD.DM, NEURO CLINIC ,CHRY",#N/A,1,#N/A,#N/A
A571,27-07-2017,"THOMSON MEDICALS, TIRUVALLA",#N/A,1,#N/A,#N/A
A557,27-07-2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",#N/A,1,#N/A,#N/A
A553,27-07-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A559,27-07-2017,"BHADRA MEDICALS, NEERATTUPURAM",#N/A,1,#N/A,#N/A
A554,27-07-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A550,27-07-2017,"LEKSHMI MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A551,27-07-2017,"PALLIPARAMPIL MEDICALS, VENNIKULAM",#N/A,1,#N/A,#N/A
A564,27-07-2017,"JAYA MEDICALS, KAVUMBHAGAM",#N/A,#N/A,#N/A,1
A566,27-07-2017,"DR.VARGHESE.V.JACOB, MEDICAL CENTER PEDI:",#N/A,1,#N/A,#N/A
A561,27-07-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,1,#N/A,#N/A
A575,28-07-2017,"SAHAYA MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A594,28-07-2017,"ASWAS COMMUNITY PHARMACY, ADOOR",#N/A,1,#N/A,#N/A
A581,28-07-2017,"THOMSON MEDICALS, TIRUVALLA",1,#N/A,#N/A,#N/A
A599,28-07-2017,"MARIA HOSPITAL, ADOOR",#N/A,#N/A,#N/A,1
A578,28-07-2017,"VAZHAPLAVIL MEDICALS, PANDALAM",#N/A,1,#N/A,#N/A
A612,28-07-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,1,#N/A,#N/A
A609,28-07-2017,"KADAVIL MEDICALS, MANNAR",#N/A,1,#N/A,#N/A
A607,28-07-2017,"ORMA MEDICALS, ADOOR",#N/A,1,#N/A,#N/A
A576,28-07-2017,"NEETHI MEDICAL STORE, CENTRAL ADOOR",#N/A,1,#N/A,#N/A
A603,28-07-2017,"SUPPLYCO-MAVELI MEDICALS, ADOOR",#N/A,1,#N/A,#N/A
A613,28-07-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A600,28-07-2017,"NEETHI MEDICALS, M.M JN  PANDALAM",#N/A,1,#N/A,#N/A
A595,28-07-2017,"DELIGHT'S MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A592,28-07-2017,"MANNAR MEDICALS, MANNAR",#N/A,1,#N/A,#N/A
A589,28-07-2017,"DEEPTHI MEDICALS, MANNAR",#N/A,1,#N/A,#N/A
A574,28-07-2017,"ATTILETHU  MEDICALS, KULANADA",#N/A,1,#N/A,#N/A
A580,28-07-2017,"K.K DRUG HOUSE, ADOOR",#N/A,1,#N/A,#N/A
A572,28-07-2017,"DR.PREMI VARGHESE, KARUNYA EYE (H)",#N/A,1,#N/A,#N/A
A596,28-07-2017,"PUTHENVILAYIL MEDICALS, PANDALAM",#N/A,1,#N/A,#N/A
A604,28-07-2017,"PULIMOOTTIL MEDICALS, CHENGANOOR",#N/A,1,#N/A,#N/A
A593,28-07-2017,"UDAYA MEDICALS, PANDALAM",#N/A,1,#N/A,#N/A
A579,28-07-2017,"PUNNON LIFECARE MEDICALS, COURT ROAD,CHENGANOOR",#N/A,1,#N/A,#N/A
A588,28-07-2017,"HOLY CROSS HOSPITAL, ADOOR",#N/A,1,#N/A,#N/A
A602,28-07-2017,"RELIEF MEDICALS & SURGICALS, CHENGANOOR",#N/A,1,#N/A,#N/A
A601,28-07-2017,"ANI SURG MEDICALS, PRAVINKOODU",#N/A,1,#N/A,#N/A
A608,28-07-2017,"ORANGE MEDICALS, KADAPRA",#N/A,1,#N/A,#N/A
A573,28-07-2017,"MEDICAL TRUST HOSPITAL, KULANADA",#N/A,1,#N/A,#N/A
A584,28-07-2017,"MEDI HOUSE, PADIPURACKAL BUILDINGS",#N/A,1,#N/A,#N/A
A585,28-07-2017,"DEEPA MEDICALS, CHENNITHALA",#N/A,1,#N/A,#N/A
A577,28-07-2017,"KARUNYA MEDICALS, ADOOR",#N/A,1,#N/A,#N/A
A597,28-07-2017,"K.R.MEDICALS, KALLISSERY",#N/A,1,#N/A,#N/A
A586,28-07-2017,"S.D MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A606,28-07-2017,"ALPHA MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A590,28-07-2017,"WELL CURE MEDICALS, MULAKKUZHA.CGNR",#N/A,1,#N/A,#N/A
A583,28-07-2017,"ATHIRA MEDICALS, PALLIPADI, KARAKKAD",#N/A,1,#N/A,#N/A
A610,28-07-2017,"APPOLO MEDICALS, ADOOR",#N/A,1,#N/A,#N/A
A582,28-07-2017,"HEALTH CARE MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A598,28-07-2017,"KARUNYA MEDICALS, CHENGANOOR",#N/A,1,#N/A,#N/A
A605,28-07-2017,"LEKSHMI MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A611,28-07-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A591,28-07-2017,"PATTOOR MEDICALS, PANDALAM",#N/A,1,#N/A,#N/A
A587,28-07-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
A615,29-07-2017,"ANJALI MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A620,29-07-2017,"KIZHAKINATH MEDICALS, PAIPPAD",#N/A,1,#N/A,#N/A
A614,29-07-2017,"M.G MEDICALS, MANNAR",#N/A,1,#N/A,#N/A
A617,29-07-2017,"MAHAJUBILE MEMORIAL HOSPITAL, EDATHUA",#N/A,1,#N/A,#N/A
A624,29-07-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A625,29-07-2017,"DR.ANDREWS VINCENT PALACKAL, CHANGANACHERRY",#N/A,1,#N/A,#N/A
A616,29-07-2017,"S.N.MEDICALS, KADAPRA",#N/A,1,#N/A,#N/A
A618,29-07-2017,"MENAMTHOTTAM HOSPITAL, RANNY",#N/A,1,#N/A,#N/A
A619,29-07-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A621,29-07-2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",#N/A,1,#N/A,#N/A
A623,29-07-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
A622,29-07-2017,"CENTRAL MEDICALS, THADIYOOR",#N/A,1,#N/A,#N/A
A650,31-07-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,1,#N/A,#N/A
A630,31-07-2017,"REMEDY MEDICALS, CHANGANACHERRY",#N/A,1,#N/A,#N/A
A629,31-07-2017,"MUTHU MEDICALS, CHANGANSSERY",#N/A,1,#N/A,#N/A
A644,31-07-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A645,31-07-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A628,31-07-2017,"HOLY CROSS HOSPITAL, ADOOR",#N/A,1,#N/A,#N/A
A640,31-07-2017,"DR.PREMI VARGHESE, KARUNYA EYE (H)",#N/A,1,#N/A,#N/A
A637,31-07-2017,"NEETHI MEDICALS, KUNNUMPURAM",#N/A,1,#N/A,#N/A
A649,31-07-2017,"THOMSON MEDICALS, CHANGANASERY",#N/A,1,#N/A,#N/A
A641,31-07-2017,"DR.ROY ALEXANDER, CHILDRENS CLINIC",#N/A,1,#N/A,#N/A
A632,31-07-2017,"ASWAS MEDICALS, KURISHUMMOODU",#N/A,1,#N/A,#N/A
A642,31-07-2017,"DR.P T SHAJI, PAIPPAD",#N/A,1,#N/A,#N/A
A626,31-07-2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A636,31-07-2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A643,31-07-2017,"UDAYAGIRI HOSPITAL, CHANGANACHERRY",#N/A,1,#N/A,#N/A
A633,31-07-2017,"KANNAMPALLIL MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A631,31-07-2017,"MATTAPARAMPIL MEDICALS, CHANGANASSERY",#N/A,1,#N/A,#N/A
A647,31-07-2017,"NEETHI MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A646,31-07-2017,"DR.THOMAS T THOMAS, M.M.A.M HOSPITAL.CHITTAR",#N/A,1,#N/A,#N/A
A654,31-07-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A648,31-07-2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A651,31-07-2017,"THOMSON MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A638,31-07-2017,"PALLIPARAMPIL MEDICALS, VENNIKULAM",#N/A,1,#N/A,#N/A
A639,31-07-2017,"SOORAJ MEDICALS, PLANKAMON",#N/A,1,#N/A,#N/A
A634,31-07-2017,"JESWIN MEDICALS, THENGANA",#N/A,1,#N/A,#N/A
A655,31-07-2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",#N/A,1,#N/A,#N/A
A652,31-07-2017,"MED CARE PHARMACY, KAVUMBHAGUM",#N/A,1,#N/A,#N/A
A653,31-07-2017,"GIRI MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A627,31-07-2017,"DR.RAJAN MATHEWS, CHILDREN'S MEDICAL CENTRE",#N/A,1,#N/A,#N/A
A635,31-07-2017,"DRUGS INSPECTOR, (ZONE 2)",#N/A,1,#N/A,#N/A
A702,01-08-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,1,#N/A,#N/A
A684,01-08-2017,"ST.GEORGE MEDICALS, KOZHENCHERY",#N/A,1,#N/A,#N/A
A660,01-08-2017,"POYANIL HOSPITAL, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A685,01-08-2017,"JOSE & SONS MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A682,01-08-2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",#N/A,1,#N/A,#N/A
A691,01-08-2017,"NEETHI MEDICALS, ERAVIPEROOR  SCB",#N/A,1,#N/A,#N/A
A697,01-08-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,1,#N/A,#N/A
A666,01-08-2017,"PEOPLES HOSPITAL, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A675,01-08-2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A658,01-08-2017,"THACHILEATHU MEDICALS, NEAR GOVT HOSPITAL",#N/A,1,#N/A,#N/A
A696,01-08-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,1,#N/A,#N/A
A661,01-08-2017,"VETTATHARA MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A706,01-08-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A662,01-08-2017,"PAZHANJIYIL MEDICALS, KOZHENCHERY",#N/A,1,#N/A,#N/A
A656,01-08-2017,"SOUTHERN MEDICALS, KOZHENCHERY",#N/A,1,#N/A,#N/A
A689,01-08-2017,"MADATHIL MEDICALS, KOZHANCHERY",#N/A,1,#N/A,#N/A
A657,01-08-2017,"HAFZA MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A664,01-08-2017,"ST.MARY'S HOSPITAL, ERAVIPEROOR",#N/A,1,#N/A,#N/A
A680,01-08-2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A686,01-08-2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",#N/A,1,#N/A,#N/A
A673,01-08-2017,"PRATHIBHA MEDICALS, VECHOOCHIRA",#N/A,1,#N/A,#N/A
A703,01-08-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A688,01-08-2017,"S.D MEDICALS, CHENGANNUR",#N/A,1,#N/A,#N/A
A671,01-08-2017,"PREETHI MEDICALS, ELENTHOOR",#N/A,1,#N/A,#N/A
A679,01-08-2017,"KAVIL DRUG HOUSE, OPP.GOVT HOSPITAL",#N/A,1,#N/A,#N/A
A677,01-08-2017,"NEETHY MEDICAL STORE, PULLAD",#N/A,1,#N/A,#N/A
A700,01-08-2017,"ASWAS COMMUNITY PHARMACY, ADOOR",#N/A,1,#N/A,#N/A
A668,01-08-2017,"SAM MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A676,01-08-2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",#N/A,1,#N/A,#N/A
A663,01-08-2017,"FRIENDS MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A667,01-08-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,1,#N/A,#N/A
A690,01-08-2017,"PHILIPS MEDICALS, NELLAD",#N/A,1,#N/A,#N/A
A659,01-08-2017,"DR.RAJAN MATHEWS, CHILDREN'S MEDICAL CENTRE",#N/A,1,#N/A,#N/A
A674,01-08-2017,"TRAVANCORE MEDICALS, PULLAD",#N/A,1,#N/A,#N/A
A683,01-08-2017,"KOODATHUMANNIL MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A665,01-08-2017,"KANJIRAMON MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A672,01-08-2017,"T & T MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A681,01-08-2017,"JACOBS MEDICALS, KUMBANAD",#N/A,1,#N/A,#N/A
A705,01-08-2017,"THOMSON MEDICALS, TIRUVALLA",#N/A,1,#N/A,#N/A
A694,01-08-2017,"J M J MEDICALS, LAIKADU",#N/A,1,#N/A,#N/A
A704,01-08-2017,"JAI MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A678,01-08-2017,"MAMMARAPALLIL MEDICALS, PULLAD ",#N/A,1,#N/A,#N/A
A687,01-08-2017,"MUTTUMON MEDICALS, KUMBANAD",#N/A,1,#N/A,#N/A
A692,01-08-2017,"LEKSHMI MEDICALS, KUTOOR",#N/A,1,#N/A,#N/A
A669,01-08-2017,"MANNAR MEDICALS, PATHANAMTHITTA",#N/A,1,#N/A,#N/A
A670,01-08-2017,"ATHIRA MEDICALS, PALLIPADI, KARAKKAD",#N/A,1,#N/A,#N/A
A693,01-08-2017,"VETTATHARA MEDICALS, KOZHENCHERRY",#N/A,1,#N/A,#N/A
A698,01-08-2017,"UDAYA MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
A699,01-08-2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A695,01-08-2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",#N/A,#N/A,1,#N/A
A701,01-08-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,#N/A,1
A716,02-08-2017,"KADAVIL MEDICALS, MANNAR",1,#N/A,#N/A,#N/A
A709,02-08-2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",#N/A,1,#N/A,#N/A
A711,02-08-2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",#N/A,1,#N/A,#N/A
A715,02-08-2017,"USHA HOSPITAL, CHENGANNOOR",#N/A,1,#N/A,#N/A
A723,02-08-2017,"MEDI HOUSE, PADIPURACKAL BUILDINGS",#N/A,1,#N/A,#N/A
A714,02-08-2017,"THIRUVALLA MEDICAL MISSION HOS, VAZHOOR",#N/A,1,#N/A,#N/A
